date,plant_id,product_line,product_category,demand_units,raw_material_1,raw_material_2,raw_material_3,raw_material_4,economic_index,capacity_utilization,supply_chain_disruption,working_days_month,is_holiday,fuel_cost_index,labor_availability,inventory_level,lead_time_days,order_backlog
2023-01-03,Chennai_Automotive,Body_Part_B02,Automotive,1061,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,98.99,0.884,0,22,0,53.9,0.984,1246,8,26
2023-01-03,Chennai_Automotive,Interior_C03,Automotive,1200,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,98.99,1.0,0,22,0,53.9,1.008,1178,9,85
2023-01-03,Pune_Textiles,Cotton_Fabric_T01,Textiles,1938,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,98.99,0.969,0,22,0,53.9,1.004,1235,9,99
2023-01-03,Pune_Textiles,Synthetic_T02,Textiles,1550,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,98.99,0.775,0,22,0,53.9,0.904,1117,9,39
2023-01-03,Pune_Textiles,Blended_T03,Textiles,1760,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,98.99,0.88,0,22,0,53.9,1.037,1230,9,43
2023-01-03,Bangalore_Pharma,Tablet_P01,Pharmaceuticals,725,Active_Ingredient,Lactose,Starch,Cellulose,98.99,0.906,0,22,0,53.9,0.891,1467,9,8
2023-01-03,Bangalore_Pharma,Liquid_P02,Pharmaceuticals,754,Active_Ingredient,Lactose,Starch,Cellulose,98.99,0.943,0,22,0,53.9,0.867,1265,9,29
2023-01-03,Bangalore_Pharma,API_P03,Pharmaceuticals,575,Active_Ingredient,Lactose,Starch,Cellulose,98.99,0.719,0,22,0,53.9,0.88,1136,7,86
2023-01-04,Mumbai_Electronics,PCB_Assembly_001,Electronics,1574,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,99.02,1.0,0,22,0,49.52,0.953,1459,7,24
2023-01-04,Mumbai_Electronics,PCB_Assembly_002,Electronics,1687,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,99.02,1.0,0,22,0,49.52,1.002,1443,9,40
2023-01-04,Mumbai_Electronics,Component_001,Electronics,1748,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,99.02,1.0,0,22,0,49.52,1.039,1127,8,88
2023-01-04,Chennai_Automotive,Engine_Part_A01,Automotive,1239,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,99.02,1.0,0,22,0,49.52,0.903,1155,8,38
2023-01-04,Chennai_Automotive,Body_Part_B02,Automotive,1131,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,99.02,0.943,0,22,0,49.52,0.938,1314,8,77
2023-01-04,Chennai_Automotive,Interior_C03,Automotive,1364,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,99.02,1.0,0,22,0,49.52,1.009,1367,10,50
2023-01-04,Pune_Textiles,Cotton_Fabric_T01,Textiles,1029,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,99.02,0.735,1,22,0,49.52,0.705,1430,7,63
2023-01-04,Pune_Textiles,Synthetic_T02,Textiles,1186,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,99.02,0.848,1,22,0,49.52,0.658,1001,9,52
2023-01-04,Pune_Textiles,Blended_T03,Textiles,1873,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,99.02,0.936,0,22,0,49.52,1.002,1464,7,14
2023-01-04,Bangalore_Pharma,Tablet_P01,Pharmaceuticals,569,Active_Ingredient,Lactose,Starch,Cellulose,99.02,0.711,0,22,0,49.52,1.005,1159,11,25
2023-01-04,Bangalore_Pharma,Liquid_P02,Pharmaceuticals,580,Active_Ingredient,Lactose,Starch,Cellulose,99.02,0.725,0,22,0,49.52,0.89,1436,9,54
2023-01-04,Bangalore_Pharma,API_P03,Pharmaceuticals,590,Active_Ingredient,Lactose,Starch,Cellulose,99.02,0.738,0,22,0,49.52,1.038,1172,8,37
2023-01-05,Mumbai_Electronics,PCB_Assembly_001,Electronics,1502,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,98.95,1.0,0,22,0,52.1,0.962,1450,11,82
2023-01-05,Mumbai_Electronics,PCB_Assembly_002,Electronics,1717,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,98.95,1.0,0,22,0,52.1,0.872,1145,8,85
2023-01-05,Mumbai_Electronics,Component_001,Electronics,1662,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,98.95,1.0,0,22,0,52.1,0.917,1408,7,48
2023-01-05,Chennai_Automotive,Engine_Part_A01,Automotive,1378,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,98.95,1.0,0,22,0,52.1,0.955,1077,10,39
2023-01-05,Chennai_Automotive,Body_Part_B02,Automotive,1367,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,98.95,1.0,0,22,0,52.1,1.041,1352,10,70
2023-01-05,Chennai_Automotive,Interior_C03,Automotive,1171,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,98.95,0.976,0,22,0,52.1,0.972,1022,11,38
2023-01-05,Pune_Textiles,Cotton_Fabric_T01,Textiles,1846,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,98.95,0.923,0,22,0,52.1,0.977,1275,7,49
2023-01-05,Pune_Textiles,Synthetic_T02,Textiles,1538,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,98.95,0.769,0,22,0,52.1,0.859,1301,9,81
2023-01-05,Pune_Textiles,Blended_T03,Textiles,1668,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,98.95,0.834,0,22,0,52.1,1.042,1459,8,51
2023-01-05,Bangalore_Pharma,Tablet_P01,Pharmaceuticals,777,Active_Ingredient,Lactose,Starch,Cellulose,98.95,0.971,0,22,0,52.1,0.913,1460,9,19
2023-01-05,Bangalore_Pharma,Liquid_P02,Pharmaceuticals,698,Active_Ingredient,Lactose,Starch,Cellulose,98.95,0.873,0,22,0,52.1,0.911,1208,9,76
2023-01-05,Bangalore_Pharma,API_P03,Pharmaceuticals,689,Active_Ingredient,Lactose,Starch,Cellulose,98.95,0.861,0,22,0,52.1,1.009,1401,7,54
2023-01-06,Mumbai_Electronics,PCB_Assembly_001,Electronics,1595,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,106.95,1.0,0,22,0,48.06,0.946,1317,8,96
2023-01-06,Mumbai_Electronics,PCB_Assembly_002,Electronics,1499,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,106.95,0.999,0,22,0,48.06,0.898,1399,11,97
2023-01-06,Mumbai_Electronics,Component_001,Electronics,1872,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,106.95,1.0,0,22,0,48.06,0.973,1489,9,85
2023-01-06,Chennai_Automotive,Engine_Part_A01,Automotive,1126,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,106.95,0.938,0,22,0,48.06,0.933,1229,11,18
2023-01-06,Chennai_Automotive,Body_Part_B02,Automotive,1101,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,106.95,0.917,0,22,0,48.06,0.967,1253,8,77
2023-01-06,Chennai_Automotive,Interior_C03,Automotive,1194,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,106.95,0.995,0,22,0,48.06,0.88,1429,11,58
2023-01-06,Pune_Textiles,Cotton_Fabric_T01,Textiles,1881,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,106.95,0.941,0,22,0,48.06,0.886,1301,10,74
2023-01-06,Pune_Textiles,Synthetic_T02,Textiles,1908,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,106.95,0.954,0,22,0,48.06,0.894,1195,8,37
2023-01-06,Pune_Textiles,Blended_T03,Textiles,1966,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,106.95,0.983,0,22,0,48.06,0.921,1254,10,59
2023-01-06,Bangalore_Pharma,Tablet_P01,Pharmaceuticals,762,Active_Ingredient,Lactose,Starch,Cellulose,106.95,0.953,0,22,0,48.06,0.986,1065,7,89
2023-01-06,Bangalore_Pharma,Liquid_P02,Pharmaceuticals,800,Active_Ingredient,Lactose,Starch,Cellulose,106.95,1.0,0,22,0,48.06,1.038,1238,10,44
2023-01-06,Bangalore_Pharma,API_P03,Pharmaceuticals,733,Active_Ingredient,Lactose,Starch,Cellulose,106.95,0.916,0,22,0,48.06,0.95,1352,7,81
2023-01-07,Mumbai_Electronics,PCB_Assembly_001,Electronics,47,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,104.12,0.031,0,22,1,50.73,0.661,1444,11,82
2023-01-07,Mumbai_Electronics,PCB_Assembly_002,Electronics,50,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,104.12,0.033,0,22,1,50.73,0.709,1056,8,89
2023-01-07,Mumbai_Electronics,Component_001,Electronics,55,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,104.12,0.037,0,22,1,50.73,0.751,1405,7,74
2023-01-07,Chennai_Automotive,Engine_Part_A01,Automotive,32,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,104.12,0.027,0,22,1,50.73,0.715,1290,11,0
2023-01-07,Chennai_Automotive,Body_Part_B02,Automotive,37,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,104.12,0.031,0,22,1,50.73,0.681,1341,10,55
2023-01-07,Chennai_Automotive,Interior_C03,Automotive,38,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,104.12,0.032,0,22,1,50.73,0.678,1080,8,67
2023-01-07,Pune_Textiles,Cotton_Fabric_T01,Textiles,47,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,104.12,0.024,0,22,1,50.73,0.683,1145,8,38
2023-01-07,Pune_Textiles,Synthetic_T02,Textiles,39,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,104.12,0.029,1,22,1,50.73,0.715,1292,7,32
2023-01-07,Pune_Textiles,Blended_T03,Textiles,43,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,104.12,0.021,0,22,1,50.73,0.661,1487,11,16
2023-01-07,Bangalore_Pharma,Tablet_P01,Pharmaceuticals,19,Active_Ingredient,Lactose,Starch,Cellulose,104.12,0.024,0,22,1,50.73,0.636,1002,11,65
2023-01-07,Bangalore_Pharma,Liquid_P02,Pharmaceuticals,19,Active_Ingredient,Lactose,Starch,Cellulose,104.12,0.024,0,22,1,50.73,0.64,1483,8,86
2023-01-07,Bangalore_Pharma,API_P03,Pharmaceuticals,19,Active_Ingredient,Lactose,Starch,Cellulose,104.12,0.024,0,22,1,50.73,0.731,1244,9,36
2023-01-08,Mumbai_Electronics,PCB_Assembly_001,Electronics,54,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,103.57,0.036,0,22,1,52.78,0.697,1035,7,88
2023-01-08,Mumbai_Electronics,PCB_Assembly_002,Electronics,54,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,103.57,0.036,0,22,1,52.78,0.742,1256,8,14
2023-01-08,Mumbai_Electronics,Component_001,Electronics,47,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,103.57,0.031,0,22,1,52.78,0.736,1314,8,86
2023-01-08,Chennai_Automotive,Engine_Part_A01,Automotive,30,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,103.57,0.025,0,22,1,52.78,0.715,1032,10,33
2023-01-08,Chennai_Automotive,Body_Part_B02,Automotive,35,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,103.57,0.029,0,22,1,52.78,0.713,1400,11,70
2023-01-08,Chennai_Automotive,Interior_C03,Automotive,32,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,103.57,0.027,0,22,1,52.78,0.633,1323,10,33
2023-01-08,Pune_Textiles,Cotton_Fabric_T01,Textiles,45,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,103.57,0.022,0,22,1,52.78,0.632,1462,11,7
2023-01-08,Pune_Textiles,Synthetic_T02,Textiles,48,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,103.57,0.024,0,22,1,52.78,0.715,1236,8,36
2023-01-08,Pune_Textiles,Blended_T03,Textiles,48,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,103.57,0.024,0,22,1,52.78,0.64,1406,9,78
2023-01-08,Bangalore_Pharma,Tablet_P01,Pharmaceuticals,17,Active_Ingredient,Lactose,Starch,Cellulose,103.57,0.021,0,22,1,52.78,0.644,1291,10,63
2023-01-08,Bangalore_Pharma,Liquid_P02,Pharmaceuticals,23,Active_Ingredient,Lactose,Starch,Cellulose,103.57,0.029,0,22,1,52.78,0.703,1399,11,24
2023-01-08,Bangalore_Pharma,API_P03,Pharmaceuticals,21,Active_Ingredient,Lactose,Starch,Cellulose,103.57,0.026,0,22,1,52.78,0.769,1304,9,82
2023-01-09,Mumbai_Electronics,PCB_Assembly_001,Electronics,1781,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,100.0,1.0,0,22,0,53.93,0.887,1303,9,71
2023-01-09,Mumbai_Electronics,PCB_Assembly_002,Electronics,1571,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,100.0,1.0,0,22,0,53.93,0.868,1302,9,2
2023-01-09,Mumbai_Electronics,Component_001,Electronics,1692,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,100.0,1.0,0,22,0,53.93,1.016,1250,9,52
2023-01-09,Chennai_Automotive,Engine_Part_A01,Automotive,1199,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,100.0,0.999,0,22,0,53.93,0.911,1214,9,28
2023-01-09,Chennai_Automotive,Body_Part_B02,Automotive,1121,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,100.0,0.934,0,22,0,53.93,0.923,1057,8,20
2023-01-09,Chennai_Automotive,Interior_C03,Automotive,999,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,100.0,0.833,0,22,0,53.93,0.989,1485,9,98
2023-01-09,Pune_Textiles,Cotton_Fabric_T01,Textiles,1824,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,100.0,0.912,0,22,0,53.93,0.969,1381,7,13
2023-01-09,Pune_Textiles,Synthetic_T02,Textiles,1579,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,100.0,0.789,0,22,0,53.93,0.932,1374,7,84
2023-01-09,Pune_Textiles,Blended_T03,Textiles,1793,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,100.0,0.896,0,22,0,53.93,0.913,1040,9,52
2023-01-09,Bangalore_Pharma,Tablet_P01,Pharmaceuticals,801,Active_Ingredient,Lactose,Starch,Cellulose,100.0,1.0,0,22,0,53.93,1.036,1040,10,30
2023-01-09,Bangalore_Pharma,Liquid_P02,Pharmaceuticals,719,Active_Ingredient,Lactose,Starch,Cellulose,100.0,0.899,0,22,0,53.93,0.877,1169,11,65
2023-01-09,Bangalore_Pharma,API_P03,Pharmaceuticals,801,Active_Ingredient,Lactose,Starch,Cellulose,100.0,1.0,0,22,0,53.93,0.94,1301,9,77
2023-01-10,Mumbai_Electronics,PCB_Assembly_001,Electronics,1854,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,100.27,1.0,0,22,0,48.52,1.04,1362,9,1
2023-01-10,Mumbai_Electronics,PCB_Assembly_002,Electronics,1928,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,100.27,1.0,0,22,0,48.52,0.881,1363,10,84
2023-01-10,Mumbai_Electronics,Component_001,Electronics,1802,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,100.27,1.0,0,22,0,48.52,0.899,1044,11,4
2023-01-10,Chennai_Automotive,Engine_Part_A01,Automotive,1285,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,100.27,1.0,0,22,0,48.52,0.932,1376,8,98
2023-01-10,Chennai_Automotive,Body_Part_B02,Automotive,1025,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,100.27,0.854,0,22,0,48.52,0.934,1378,10,71
2023-01-10,Chennai_Automotive,Interior_C03,Automotive,952,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,100.27,1.0,1,22,0,48.52,0.706,1428,9,28
2023-01-10,Pune_Textiles,Cotton_Fabric_T01,Textiles,1383,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,100.27,0.692,0,22,0,48.52,1.032,1090,8,64
2023-01-10,Pune_Textiles,Synthetic_T02,Textiles,1523,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,100.27,0.761,0,22,0,48.52,0.991,1369,7,69
2023-01-10,Pune_Textiles,Blended_T03,Textiles,1555,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,100.27,0.777,0,22,0,48.52,0.935,1299,9,57
2023-01-10,Bangalore_Pharma,Tablet_P01,Pharmaceuticals,643,Active_Ingredient,Lactose,Starch,Cellulose,100.27,0.804,0,22,0,48.52,0.91,1149,8,99
2023-01-10,Bangalore_Pharma,Liquid_P02,Pharmaceuticals,586,Active_Ingredient,Lactose,Starch,Cellulose,100.27,0.733,0,22,0,48.52,0.923,1453,11,25
2023-01-10,Bangalore_Pharma,API_P03,Pharmaceuticals,598,Active_Ingredient,Lactose,Starch,Cellulose,100.27,0.748,0,22,0,48.52,0.895,1261,10,71
2023-01-11,Mumbai_Electronics,PCB_Assembly_001,Electronics,1758,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,103.19,1.0,0,22,0,53.92,0.92,1312,7,26
2023-01-11,Mumbai_Electronics,PCB_Assembly_002,Electronics,1574,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,103.19,1.0,0,22,0,53.92,0.855,1453,11,40
2023-01-11,Mumbai_Electronics,Component_001,Electronics,1918,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,103.19,1.0,0,22,0,53.92,1.012,1099,9,72
2023-01-11,Chennai_Automotive,Engine_Part_A01,Automotive,1273,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,103.19,1.0,0,22,0,53.92,0.878,1037,10,77
2023-01-11,Chennai_Automotive,Body_Part_B02,Automotive,1302,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,103.19,1.0,0,22,0,53.92,0.92,1401,10,97
2023-01-11,Chennai_Automotive,Interior_C03,Automotive,995,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,103.19,0.829,0,22,0,53.92,1.024,1240,11,42
2023-01-11,Pune_Textiles,Cotton_Fabric_T01,Textiles,1268,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,103.19,0.906,1,22,0,53.92,0.722,1027,10,66
2023-01-11,Pune_Textiles,Synthetic_T02,Textiles,1499,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,103.19,0.75,0,22,0,53.92,0.948,1093,9,11
2023-01-11,Pune_Textiles,Blended_T03,Textiles,1272,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,103.19,0.909,1,22,0,53.92,0.698,1030,8,26
2023-01-11,Bangalore_Pharma,Tablet_P01,Pharmaceuticals,600,Active_Ingredient,Lactose,Starch,Cellulose,103.19,0.75,0,22,0,53.92,0.985,1115,11,41
2023-01-11,Bangalore_Pharma,Liquid_P02,Pharmaceuticals,698,Active_Ingredient,Lactose,Starch,Cellulose,103.19,0.873,0,22,0,53.92,0.972,1362,7,44
2023-01-11,Bangalore_Pharma,API_P03,Pharmaceuticals,765,Active_Ingredient,Lactose,Starch,Cellulose,103.19,0.956,0,22,0,53.92,0.988,1246,9,50
2023-01-12,Mumbai_Electronics,PCB_Assembly_001,Electronics,1388,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,101.79,0.925,0,22,0,47.62,0.954,1184,10,99
2023-01-12,Mumbai_Electronics,PCB_Assembly_002,Electronics,1592,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,101.79,1.0,0,22,0,47.62,0.978,1127,8,97
2023-01-12,Mumbai_Electronics,Component_001,Electronics,1429,Silicon_Wafers,Copper_Wire,Plastic_Resin,Gold_Wire,101.79,0.953,0,22,0,47.62,0.92,1186,7,92
2023-01-12,Chennai_Automotive,Engine_Part_A01,Automotive,1081,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,101.79,0.901,0,22,0,47.62,0.877,1135,11,60
2023-01-12,Chennai_Automotive,Body_Part_B02,Automotive,1389,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,101.79,1.0,0,22,0,47.62,0.971,1249,8,59
2023-01-12,Chennai_Automotive,Interior_C03,Automotive,1395,Steel_Sheet,Aluminum_Block,Rubber_Compound,Electronics_Module,101.79,1.0,0,22,0,47.62,0.876,1147,11,81
2023-01-12,Pune_Textiles,Cotton_Fabric_T01,Textiles,1887,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,101.79,0.944,0,22,0,47.62,0.856,1330,11,56
2023-01-12,Pune_Textiles,Synthetic_T02,Textiles,1777,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,101.79,0.888,0,22,0,47.62,0.887,1282,11,67
2023-01-12,Pune_Textiles,Blended_T03,Textiles,1515,Cotton_Fiber,Polyester_Yarn,Dye_Chemical,Finishing_Agent,101.79,0.757,0,22,0,47.62,1.018,1474,10,96
2023-01-12,Bangalore_Pharma,Tablet_P01,Pharmaceuticals,810,Active_Ingredient,Lactose,Starch,Cellulose,101.79,1.0,0,22,0,47.62,0.997,1143,8,66
